"simulation","j","t","S","log_share","P","X1","X2","X3","X4","X5","Z1","Z2","I","outside"
1,1,1,3.88683975300838e-06,-12.4577193827362,2.04158470041405,1,-0.571970223820327,-0.0370425191339977,-0.395753906629426,1.31948411449145,0.366526579251513,1.01546062454738,100,0.999805268361345
1,2,1,3.52616792087659e-07,-14.8576891938974,2.84952672885645,1,0.188362663212235,-0.494768924507283,0.470934318731335,0.768276693180032,0.741393025033176,0.940626271568676,100,0.999805268361345
1,3,1,1.98479541859271e-05,-10.8272148692224,3.4457961046366,1,0.6369149406857,0.262772688022896,1.48760434112684,0.747145776695267,0.933506249915808,0.763351551913466,100,0.999805268361345
1,4,1,5.35846909432883e-07,-14.4392225828002,0.42050272445223,1,-1.04646685027861,-1.95178740653983,0.441574022053153,0.00297480961177702,0.673209949862212,1.00225853768478,100,0.999805268361345
1,5,1,2.19451046847989e-06,-13.0293568069024,4.24907196790925,1,0.321716424696057,1.13173373650719,1.14173721472377,0.865498762110618,0.70135710737668,1.19832020721187,100,0.999805268361345
1,6,1,3.03286422323814e-10,-21.916148718124,4.86810439595165,1,1.00682693234002,0.788772920680022,-0.150318484675864,-1.78574209113657,0.847625407855958,1.31879349078075,100,0.999805268361345
1,7,1,2.92298681156463e-08,-17.347880019184,2.77405658638917,1,0.50865990582017,-0.0745599838014751,-0.467466165701671,-1.43529851861188,0.706156654981896,0.725457745814166,100,0.999805268361345
1,8,1,3.44158675647334e-06,-12.5793831759116,3.09378954673976,1,-0.231664705943387,0.590488042874522,1.29770156715926,0.260459855344537,0.85880775959231,0.950077813391536,100,0.999805268361345
1,9,1,9.8843955893814e-10,-20.7346988688063,2.92387570506182,1,0.212807248530395,-0.326916042508965,-1.36428083240917,-0.7328037895014,0.44564449111931,1.23188490537111,100,0.999805268361345
1,10,1,0.000164441762195618,-8.71275932904663,2.20529675439103,1,-0.259568264101885,0.185459069032731,1.16475075159643,0.987920981131691,0.676634992007166,0.777155530431281,100,0.999805268361345
1,1,2,0.00145913616656832,-6.51228709904387,1.33630306929239,1,-0.133251420062546,-0.0555282790213528,0.711919779548924,0.679373873350182,0.127824782626703,0.494299862229922,100,0.982530801054934
1,2,2,7.72891488023055e-06,-11.7529184968821,1.26726727065877,1,-0.774276455336538,-0.670581410561183,0.294996489758242,0.73626177311816,0.736171535216272,0.812819488297338,100,0.982530801054934
1,3,2,1.46398506376469e-06,-13.4167247587678,3.11217276631618,1,0.124745994196693,0.832436403717674,0.421738496340649,-0.411086156258911,0.0672451483551413,0.806552108412887,100,0.982530801054934
1,4,2,0.0159823833325082,-4.11864461899645,1.9263872170116,1,0.262039919081674,-0.43292278946195,1.58903468328957,2.17153478867826,0.2808000696823,1.00949771846556,100,0.982530801054934
1,5,2,1.58287376960222e-05,-11.0360598424444,0.698080174330459,1,-0.56581052885115,-0.939958067796606,0.209434382874094,-0.101412754721344,0.411617683712393,0.919252641300393,100,0.982530801054934
1,6,2,2.88218365551713e-08,-17.3445089373262,6.22267772379186,1,2.36899879793407,0.733049555431595,0.867939390295806,0.292427961369828,0.943424997152761,1.04629922564893,100,0.982530801054934
1,7,2,4.96344875787037e-08,-16.8009563446917,2.05823438117958,1,-0.780105149804811,-0.308967077245245,-1.34197069471962,0.948349265174978,0.97734253318049,0.915525518414651,100,0.982530801054934
1,8,2,1.84782414178566e-06,-13.1838781645884,4.86994467151257,1,0.706277760817664,2.11276779365729,0.80810049816434,-0.353139431300821,0.0388665851205587,1.07482367893906,100,0.982530801054934
1,9,2,6.24954693344215e-07,-14.267963094431,1.40961281696385,1,0.248012288630145,-0.995427732013973,-1.26537951304206,-0.0960598231248263,0.587727777194232,0.926798845000597,100,0.982530801054934
1,10,2,1.06573190342518e-07,-16.0368102685146,2.10462474695321,1,-0.443323542079638,-0.147363935479795,-0.119511556031942,-0.566860818513183,0.0300116771832108,1.23802028930421,100,0.982530801054934
1,1,3,1.18815715323478e-07,-15.9438429137676,2.11900081514207,1,-0.531368236039586,-0.126214045216545,0.631747281360438,-1.20861416109082,0.565281208371744,0.852534494948554,100,0.998152467661567
1,2,3,2.02068510310368e-05,-10.8076396099752,3.41013949717014,1,0.743296155765243,0.688075567947531,1.0525481917412,0.0280044656371095,0.0982272308319807,1.05813332908785,100,0.998152467661567
1,3,3,2.67202359474182e-06,-12.8308252308301,3.18152450589689,1,0.420409276233316,0.324061248136007,-0.104583769871684,1.0677713704221,0.630290788598359,0.823030086343109,100,0.998152467661567
1,4,3,3.85247384294602e-05,-10.162360725281,5.26577475425363,1,1.46478414324603,1.38075466455012,1.89910412650904,1.04700312464985,0.818501834524795,1.04160129577417,100,0.998152467661567
1,5,3,3.05884174132518e-08,-17.3007951744188,0.219728424100176,1,-1.50726180745572,-1.19539298814487,-1.52022040858681,-0.867330125546757,0.350041663041338,0.990453965504295,100,0.998152467661567
1,6,3,1.26647980180066e-06,-13.5774200745458,1.21180177182393,1,-0.666604023106663,-0.321760450316955,-0.858568068551053,-0.0963235252097544,0.133983674924821,0.663095870772281,100,0.998152467661567
1,7,3,0.00178182677315146,-6.32826692275769,3.30315888408514,1,-0.0845034479279592,1.74488442672605,1.26270905082503,1.19605321675888,0.080943378387019,0.97115468867621,100,0.998152467661567
1,8,3,4.39123749549959e-08,-16.9392204258219,4.56946377808563,1,0.711092657534236,1.46677720145604,-0.263492723767056,-0.428558735275322,0.350443314295262,1.23604273310053,100,0.998152467661567
1,9,3,7.01907283473216e-09,-18.7727854613245,3.81662480058025,1,1.18115201142256,-0.336784746694735,-0.313924319574197,-0.433710565267153,0.996271784650162,1.1362799846399,100,0.998152467661567
1,10,3,2.83513684440684e-06,-12.7715711111861,1.81612022274862,1,-0.338198196072874,-0.237017069722709,0.318602090682433,-0.0866945728743521,0.532968810759485,1.02864952617751,100,0.998152467661567
1,1,4,2.19042818386341e-05,-10.7286818948048,2.46686743356195,1,-0.179420060019121,1.05717480074201,0.0331859759801499,-0.11983383242596,0.335897380486131,0.761536711257417,100,0.999853483032434
1,2,4,1.50057058861818e-07,-15.7121036950667,3.36451854418804,1,0.0729715437650609,0.618225736577101,0.085506242148187,0.00877250513716649,0.314234643476084,1.23384573055782,100,0.999853483032434
1,3,4,5.25119650870681e-06,-12.1569080732049,0.746414628150876,1,-0.755385862240247,-0.51371237677249,-0.234110954443223,-0.61020522456847,0.382622060365975,1.01584034178907,100,0.999853483032434
1,4,4,1.3247767874924e-06,-13.5341200472851,0.667226193701795,1,0.099637853778967,-1.35435390751335,-0.41596045705959,-1.5250289163298,0.018546407809481,0.909645249446265,100,0.999853483032434
1,5,4,2.72548738666363e-07,-15.1153018536427,1.2960199556449,1,-0.485671686727832,-0.731499297318086,-0.779074173015832,-0.279712338007736,0.0365391168743372,1.32840564256015,100,0.999853483032434
1,6,4,2.53372817896102e-08,-17.4908424096547,1.12069659730314,1,-1.725744098315,0.171394721269912,-1.56403623179349,-0.827977471690952,0.878513294039294,0.846081535680096,100,0.999853483032434
1,7,4,0.000117113865345383,-9.05221736064405,1.15141798706275,1,-1.06376116187085,-0.470559165108606,1.66308300726397,0.421726250089854,0.402064023772255,1.06067219215157,100,0.999853483032434
1,8,4,1.6362477100488e-08,-17.928128577521,0.630658907535935,1,-1.60626688033577,-1.74369181789561,-0.10469377214435,-0.112628887646091,0.469381074188277,1.2563474842367,100,0.999853483032434
1,9,4,4.16223548184017e-08,-16.9944819108691,0.229521825019253,1,-0.722409641165061,-1.40893449033449,-1.91135810858168,-1.50737083545719,0.402336510131136,1.12044455903409,100,0.999853483032434
1,10,4,4.16919174424424e-07,-14.6902269325525,3.06561271686778,1,0.752297077335007,-0.48895986379924,-0.880682550878014,1.43584016329023,0.702090102480724,0.938595547092633,100,0.999853483032434
1,1,5,0.000142244739537265,-8.85693391538592,2.91703166075129,1,0.485662509091405,0.224346492095778,1.19076241310334,1.11234189740114,0.399164465256035,0.916316379315472,100,0.998972977087828
